eng_text,fr_text,eng_context,fr_context,eng_mID
the Gryphon,,"the Gryphon.

""The reason is,""",,M_2721
the Gryphon,,"the Gryphon, ""that they _would",,M_2722
you,,"you,"" said Alice, ""it's very i",,M_2723
Alice,,"Alice, ""it's very interesting.",,M_2724
I,,I never knew so much about a w,,M_2725
I,,"I can tell you more than that,",,M_2726
you,,"you more than that, if you lik",,M_2727
you,,"you like,"" said the Gryphon. """,,M_2728
the Gryphon,,"the Gryphon. ""Do you know why ",,M_2729
you,,you know why it's called a whi,,M_2730
I,,"I never thought about it,"" sai",,M_2731
Alice,,"Alice. ""Why?""

""_It does the b",,M_2732
the Gryphon,,the Gryphon replied very solem,,M_2733
Alice,,Alice was thoroughly puzzled. ,,M_2734
she,,she repeated in a wondering to,,M_2735
the Gryphon,,"the Gryphon. ""I mean, what mak",,M_2737
I,,"I mean, what makes them so shi",,M_2738
Alice,,"Alice looked down at them, and",,M_2739
she,,"she gave her answer. ""They're ",,M_2740
her,,"her answer. ""They're done with",,M_2741
I,,"I believe.""

""Boots and shoes ",,M_2742
the Gryphon,,the Gryphon went on in a deep ,,M_2743
you,,"you know.""

""And what are they",,M_2744
Alice,,Alice asked in a tone of great,,M_2745
the Gryphon,,the Gryphon replied rather imp,,M_2746
you,,"you that.""

""If I'd been the w",,M_2747
I,,"I'd been the whiting,"" said Al",,M_2748
Alice,,"Alice, whose thoughts were sti",,M_2749
I,,"I'd have said to the porpoise,",,M_2750
the Mock Turtle,,"the Mock Turtle said: ""no wise",,M_2751
Alice,,Alice in a tone of great surpr,,M_2752
the Mock Turtle,,"the Mock Turtle: ""why, if a fi",,M_2753
me,,"me_, and told me he was going ",,M_2754
me,,"me he was going a journey, I s",,M_2755
I,,I should say 'With what porpoi,,M_2756
you,,"you mean 'purpose'?"" said Alic",,M_2757
Alice,,"Alice.

""I mean what I say,"" t",,M_2758
I,,"I mean what I say,"" the Mock T",,M_2759
I,,"I say,"" the Mock Turtle replie",,M_2760
the Mock Turtle,,the Mock Turtle replied in an ,,M_2761
the Gryphon,,"the Gryphon added ""Come, let's",,M_2762
her,,her adventures from the time w,,M_2773
time,,time when she first saw the Wh,,M_2774
She,,She was a little nervous about,,M_2777
her,,"her, one on each side, and ope",,M_2779
she,,she gained courage as she went,,M_2780
she,,she went on. Her listeners wer,,M_2781
she,,she got to the part about her ,,M_2783
her,,"her repeating ""_You are old, F",,M_2784
the Mock Turtle,,the Mock Turtle drew a long br,,M_2786
the Mock Turtle,,the Mock Turtle repeated thoug,,M_2788
He,,He looked at the Gryphon as if,,M_2792
he,,he thought it had some kind of,,M_2794
I,,I might as well be at school a,,M_2798
she,,"she got up, and began to repea",,M_2799
her,,her head was so full of the Lo,,M_2800
she,,she hardly knew what she was s,,M_2801
she,,"she was saying, and the words ",,M_2802
the Mock Turtle,,"the Mock Turtle; ""but it sound",,M_2807
her,,"her face in her hands, wonderi",,M_2810
her,,"her hands, wondering if anythi",,M_2811
the Mock Turtle,,"the Mock Turtle.

""She can't e",,M_2813
I,,"I passed by his garden_.'""

Al",,M_2820
Alice,,"Alice did not dare to disobey,",,M_2821
the Mock Turtle,,"the Mock Turtle interrupted, """,,M_2825
I,,"I_ ever heard!""

""Yes, I think",,M_2828
the Mock Turtle,,the Mock Turtle to sing you a ,,M_2835
the Mock Turtle,,the Mock Turtle had just begun,,M_2847
she,,she ran; but the Gryphon only ,,M_2851
the Gryphon,,"the Gryphon only answered ""Com",,M_2852
she,,"she thought, ""and hand round t",,M_2857
she,,she began looking at everythin,,M_2858
her,,"her, to pass away the time.

A",,M_2859
time,,"time.

Alice had never been in",,M_2860
she,,"she was obliged to say ""creatu",,M_2869
She,,She said this last word two or,,M_2871
she,,"she thought, and rightly too, ",,M_2874
her,,her age knew the meaning of it,,M_2875
the Gryphon,,"the Gryphon. ""They can't have ",,M_2877
Alice,,"Alice could see, as well as if",,M_2884
she,,she were looking over their sh,,M_2885
she,,she could even make out that o,,M_2886
She,,She did it so quickly that the,,M_2890
"Bill, the Lizard",,"Bill, the Lizard) could not ma",,M_2891
Herald,,"Herald, read the accusation!"" ",,M_2892
the King,,"the King.

On this the White R",,M_2893
the White Rabbit,,the White Rabbit blew three bl,,M_2894
The Queen of Hearts,,"The Queen of Hearts, she made ",,M_2895
The Knave of Hearts,,"The Knave of Hearts, he stole ",,M_2896
the King,,the King; and the White Rabbit,,M_2899
the White Rabbit,,the White Rabbit blew three bl,,M_2900
You,,"You ought to have finished,"" s",,M_2903
you,,"you begin?""

The Hatter looked",,M_2905
March Hare,,"March Hare, who had followed h",,M_2907
March Hare,,"March Hare.

""Sixteenth,"" adde",,M_2909
the Hatter,,"the Hatter.

""It isn't mine,"" ",,M_2914
the Queen,,the Queen put on her spectacle,,M_2922
the Hatter,,"the Hatter, who turned pale an",,M_2924
Alice,,Alice felt a very curious sens,,M_2930
her,,her a good deal until she made,,M_2931
she,,she made out what it was: she ,,M_2932
she,,she was beginning to grow larg,,M_2933
she,,she thought at first she would,,M_2934
she,,she would get up and leave the,,M_2935
she,,she decided to remain where sh,,M_2936
she,,she was as long as there was r,,M_2937
her,,"her.

""I wish you wouldn't squ",,M_2938
you,,"you wouldn't squeeze so."" said",,M_2939
I,,"I can't help it,"" said Alice v",,M_2942
Alice,,"Alice very meekly: ""I'm growin",,M_2943
I,,"I'm growing.""

""You've no righ",,M_2944
You,,You've no right to grow _here_,,M_2945
you,,"you know you're growing too.""
",,M_2948
you,,"you're growing too.""

""Yes, bu",,M_2949
the wretched Hatter,,the wretched Hatter trembled s,,M_2958
me,,"me for a dunce? Go on!""

""I'm ",,M_2972
the March Hare,,"the March Hare said--""

""I did",,M_2975
March Hare,,March Hare interrupted in a gr,,M_2976
You,,"You did!"" said the Hatter.

""I",,M_2977
March Hare,,"March Hare.

""He denies it,"" s",,M_2979
You,,"You _must_ remember,"" remarked",,M_2990
you,,"you executed.""

The miserable ",,M_2993
You,,You're a _very_ poor _speaker_,,M_2995
I,,"I'm glad I've seen that done,""",,M_2998
I,,"I've seen that done,"" thought ",,M_2999
I,,I've so often read in the news,,M_3001
You,,"You may go,"" said the King, an",,M_3014
his,,"his head off outside,"" the Que",,M_3017
the Hatter,,the Hatter was out of sight be,,M_3019
Alice,,"Alice guessed who it was, even",,M_3022
your,,"your evidence,"" said the King.",,M_3024
the King,,"the King.

""Shan't,"" said the ",,M_3025
the cook,,"the cook.

The King looked anx",,M_3026
_this_ witness,,"_this_ witness.""

""Well, if I ",,M_3030
I,,"I must, I must,"" the King said",,M_3031
I,,"I must,"" the King said, with a",,M_3032
his,,his arms and frowning at the c,,M_3034
the cook,,the cook till his eyes were ne,,M_3035
his,,his eyes were nearly out of si,,M_3036
he,,"he said in a deep voice, ""What",,M_3037
the cook,,"the cook.

""Treacle,"" said a s",,M_3038
the Dormouse,,"the Dormouse turned out, and, ",,M_3047
time,,time they had settled down aga,,M_3048
the cook,,"the cook had disappeared.

""Ne",,M_3049
he,,he added in an undertone to th,,M_3051
my dear,,"my dear, _you_ must cross-exam",,M_3053
her,,"her skirt, upsetting all the j",,M_3069
her,,her very much of a globe of go,,M_3070
your,,"your pardon!"" she exclaimed in",,M_3073
he,,he repeated with great emphasi,,M_3079
he,,"he said so.

Alice looked at t",,M_3081
her,,"her haste, she had put the Liz",,M_3083
she,,she had put the Lizard in head,,M_3084
Alice,,"Alice.

""Nothing _whatever?_"" ",,M_3092
he,,he said in a very respectful t,,M_3098
he,,"he spoke.

""_Un_important, of ",,M_3100
himself,,"himself in an undertone,

""imp",,M_3103
he,,he were trying which word soun,,M_3104
Alice,,"Alice: ""besides, that's not a ",,M_3122
Alice,,"Alice.

The King turned pale, ",,M_3125
your,,"your verdict,"" he said to the ",,M_3128
the White Rabbit,,"the White Rabbit, jumping up i",,M_3131
the prisoner,,"the prisoner to--to somebody.""",,M_3135
He,,He must have imitated somebody,,M_3142
you,,"you didn't sign it,"" said the ",,M_3145
You,,You _must_ have meant some mis,,M_3147
you,,you'd have signed your name li,,M_3148
your,,"your name like an honest man.""",,M_3149
you,,you come to the end: then stop,,M_3162
his,,"his hands; ""so now let the jur",,M_3178
him,,"him,) ""I'll give him sixpence.",,M_3182
him,,him sixpence. _I_ don't believ,,M_3184
he,,"he went on, spreading out the ",,M_3190
the King,,"the King, and he went on mutte",,M_3196
he,,he went on muttering over the ,,M_3197
himself,,"himself: ""'_We know it to be t",,M_3198
him,,"him two_--' why, that must be ",,M_3199
he,,"he did with the tarts, you kno",,M_3200
him,,"him to you_,'"" said Alice.

""W",,M_3202
my dear,,"my dear, I think?"" he said to ",,M_3207
she,,she spoke. (The unfortunate li,,M_3212
Bill,,Bill had left off writing on h,,M_3213
time,,"time that day.

""No, no!"" said",,M_3218
the Queen,,"the Queen. ""Sentence first--ve",,M_3219
your,,"your tongue!"" said the Queen, ",,M_3221
the Queen,,"the Queen, turning purple.

""I",,M_3222
her,,"her head!"" the Queen shouted a",,M_3225
her,,"her voice. Nobody moved.

""Who",,M_3227
her,,"her full size by this time.) """,,M_3231
time,,"time.) ""You're nothing but a p",,M_3232
You,,You're nothing but a pack of c,,M_3233
her,,"her: she gave a little scream,",,M_3234
she,,"she gave a little scream, half",,M_3235
her,,her head in the lap of her sis,,M_3237
her,,"her face.

""Wake up, Alice dea",,M_3239
 Alice dear,," Alice dear!"" said her sister;",,M_3240
hers,,hers that you have just been r,,M_3248
you,,you have just been reading abo,,M_3249
her,,"her, and said, ""It _was_ a cur",,M_3252
dear,,"dear, certainly: but now run i",,M_3253
your,,"your tea; it's getting late."" ",,M_3254
she,,"she ran, as well she might, wh",,M_3256
she,,"she might, what a wonderful dr",,M_3257
she,,"she left her, leaning her head",,M_3259
her,,"her, leaning her head on her h",,M_3260
her,,"her head on her hand, watching",,M_3261
her,,"her hand, watching the setting",,M_3262
her,,"her wonderful Adventures, till",,M_3264
she,,she too began dreaming after a,,M_3265
her,,"her dream:--

First, she dream",,M_3266
she,,she dreamed of little Alice he,,M_3267
her,,"her knee, and the bright eager",,M_3270
she,,she could hear the very tones ,,M_3272
her,,"her voice, and see that queer ",,M_3273
her,,her head to keep back the wand,,M_3274
her,,her eyes--and still as she lis,,M_3275
she,,"she listened, or seemed to lis",,M_3276
her,,her became alive with the stra,,M_3277
her,,"her little sister's dream.

Th",,M_3278
her,,her feet as the White Rabbit h,,M_3279
the White Rabbit,,the White Rabbit hurried by--t,,M_3280
she,,she could hear the rattle of t,,M_3281
March Hare,,March Hare and his friends sha,,M_3282
her,,her unfortunate guests to exec,,M_3284
pig,,pig-baby was sneezing on the D,,M_3285
the Duchess,,"the Duchess's knee, while plat",,M_3286
the Gryphon,,"the Gryphon, the squeaking of ",,M_3287
the miserable Mock Turtle,,"the miserable Mock Turtle.

So",,M_3288
she,,"she sat on, with closed eyes, ",,M_3289
she,,she knew she had but to open t,,M_3291
she,,she had but to open them again,,M_3292
the baby,,"the baby, the shriek of the Gr",,M_3294
the Gryphon,,"the Gryphon, and all the other",,M_3295
she,,she knew) to the confused clam,,M_3296
the Mock Turtle,,"the Mock Turtle's heavy sobs.
",,M_3297
she,,she pictured to herself how th,,M_3298
herself,,herself how this same little s,,M_3299
herself,,herself a grown woman; and how,,M_3301
she,,"she would keep, through all he",,M_3302
her,,"her riper years, the simple an",,M_3303
her,,her childhood: and how she wou,,M_3304
she,,she would gather about her oth,,M_3305
her,,"her other little children, and",,M_3306
she,,she would feel with all their ,,M_3307
her,,"her own child-life, and the ha",,M_3308
